x,year,date,CHC,CHC_per,CIN,CIN_per,MIL,MIL_per,PIT,PIT_per,STL,STL_per
3,2010,2010/4/12,41306,97.47958654,27235,63.6495361,33294,73.51940997,14758,37.34878777,46918,98.79137539
6,2010,2010/4/14,39565,93.37093501,12965,30.29984342,37848,83.57549795,25196,63.76474161,35883,75.5558831
9,2010,2010/4/16,37291,88.00443668,12203,28.5190119,38634,85.31113368,13860,35.07617553,35371,74.47780679
12,2010,2010/4/17,40471,95.50903856,13261,30.99160999,25892,57.17440269,9386,23.75360632,40101,84.43737893
15,2010,2010/4/18,39506,93.23169868,15183,35.48341864,24365,53.80249967,12192,30.85488688,43709,92.03444791
30,2010,2010/4/26,37850,89.32364186,19999,46.73864778,30678,67.74279027,13634,34.50422635,40007,84.23945085
32,2010,2010/4/27,37440,88.3560674,17694,41.35174928,30175,66.63207172,10972,27.76737359,35257,74.23776636
34,2010,2010/4/28,36660,86.515316,14350,33.53665662,41706,92.0946871,11053,27.97236423,35587,74.93262023
35,2010,2010/4/29,36850,86.96370416,13813,32.28166117,43069,95.10444729,11085,28.05334818,35693,75.15581572
37,2010,2010/4/30,37800,89.20564497,16798,39.25775316,37023,81.75374288,16473,41.68902161,39561,83.30034532
39,2010,2010/5/1,40368,95.26596498,20030,46.81109631,27363,60.42264718,25047,63.38766007,39850,83.90886886
41,2010,2010/5/2,38144,90.01746354,26404,61.70744818,30151,66.57907521,17342,43.88824214,41536,87.45894045
56,2010,2010/5/10,38266,90.30537594,20402,47.68047863,34355,75.8622974,9045,22.89062105,43292,91.15640529
60,2010,2010/5/11,38007,89.69415207,27568,64.42777349,32773,72.36894404,9027,22.84506757,35875,75.53903815
65,2010,2010/5/12,38637,91.18091282,41326,96.58089696,36559,80.72914366,20064,50.77693982,36342,76.52236166
68,2010,2010/5/14,39082,92.2310851,26712,62.42725934,30082,66.42671024,9526,24.10791112,39026,82.1738398
71,2010,2010/5/15,41336,97.55038467,12409,29.00044404,30326,66.9655081,13975,35.36721162,38005,80.02400404
75,2010,2010/5/16,40636,95.89842828,13385,31.2814041,36363,80.29633882,22470,56.86592094,36345,76.52867851
77,2010,2010/5/17,35760,84.39137207,14471,33.81943958,33099,73.08881332,26519,67.112922,40766,85.83761476
80,2010,2010/5/18,37029,87.38613301,18137,42.3870621,39791,87.86600715,23045,58.32110138,37861,79.72079508
94,2010,2010/5/25,34749,82.00547506,16834,39.34188693,36059,79.62504968,20235,51.20969783,44111,92.88090626
97,2010,2010/5/26,35828,84.55184783,36038,84.22258057,36995,81.69191362,11334,28.68350458,44091,92.8387939
99,2010,2010/5/27,33868,79.92636994,18457,43.13491785,33362,73.66956675,17817,45.09034772,42417,89.31398972
102,2010,2010/5/28,39536,93.30249681,13011,30.40734768,35898,79.26953142,36687,92.84557372,40782,85.87130464
105,2010,2010/5/30,41353,97.59050361,14700,34.35462385,30087,66.43775118,24068,60.91005719,37414,78.77958393
127,2010,2010/6/11,41129,97.06187757,19241,44.96716446,41655,91.98206951,12768,32.31259807,39295,82.74025099
130,2010,2010/6/12,40397,95.33440317,25847,60.40571175,41995,92.73285342,12693,32.12279192,43261,91.09113114
133,2010,2010/6/13,40456,95.4736395,34240,80.02056603,27908,61.62610961,15218,38.51293213,44180,93.02619389
136,2010,2010/6/15,34390,81.15825742,23747,55.49790834,32907,72.66484123,23170,58.63744496,40467,85.20803504
140,2010,2010/6/16,36244,85.53358191,22639,52.90845778,30114,66.49737226,28478,72.0706585,40269,84.79112272
144,2010,2010/6/17,36942,87.18081843,23083,53.94610764,36185,79.90328137,38008,96.18869262,40020,84.26682389
146,2010,2010/6/18,39729,93.75796479,25585,59.79340485,30896,68.22417524,29845,75.53019183,40083,84.39947781
149,2010,2010/6/19,40008,94.41638741,37757,88.23996822,29387,64.89201961,25323,64.08614668,43682,91.97759623
152,2010,2010/6/20,39850,94.04351725,25877,60.47582323,34590,76.38122157,30339,76.78038164,42271,89.00656953
164,2010,2010/6/28,38512,90.88592061,22090,51.62541775,27767,61.31475511,38052,96.30004555,41578,87.5473764
168,2010,2010/6/29,36914,87.11474017,26679,62.35013672,38588,85.20955704,28698,72.62742319,38736,81.56321065
172,2010,2010/6/30,37391,88.24043045,27245,63.67290659,34598,76.39888707,23273,58.89811206,40302,84.8606081
176,2010,2010/7/2,40361,95.24944541,37188,86.9101872,34822,76.89352118,36665,92.78989725,43028,90.60052219
179,2010,2010/7/3,40677,95.99518573,25159,58.79782187,41987,92.71518792,16638,42.10659513,43276,91.1227154
183,2010,2010/7/4,41079,96.94388068,21243,49.64593704,31945,70.54056441,12375,31.31801387,38581,81.23683989
191,2010,2010/7/15,40879,96.47189314,22876,53.46233845,32286,71.29355651,13202,33.41094296,41771,87.95376063
195,2010,2010/7/16,40622,95.86538915,37868,88.49938068,38365,84.71713112,13532,34.24608999,44074,92.8029984
198,2010,2010/7/17,40924,96.57809034,23115,54.02089322,33952,74.97239765,18715,47.36295996,43667,91.94601196
202,2010,2010/7/18,39333,92.82342946,40373,94.35368903,39410,87.02468754,18611,47.09976211,40743,85.78918555
206,2010,2010/7/19,35514,83.81082739,41611,97.24695599,39339,86.8679062,36967,93.55418333,40253,84.75743283
213,2010,2010/7/21,38533,90.9354793,40871,95.51753955,29633,65.43523385,18800,47.57807359,38712,81.51267582
220,2010,2010/7/23,40687,96.0187851,36353,84.95875108,35029,77.35061608,15172,38.39651769,41089,86.5177293
222,2010,2010/7/24,41009,96.77868504,36964,86.38668817,29611,65.38665371,13623,34.47638812,40062,84.35525983
225,2010,2010/7/25,41406,97.71558031,33364,77.9733109,34808,76.86260655,20420,51.67788632,44534,93.77158258
236,2010,2010/8/2,37731,89.04280927,29571,69.10888312,27976,61.7762664,17131,43.35425419,45783,96.4014992
241,2010,2010/8/4,38425,90.68060603,37445,87.51080885,40056,88.45117696,30711,77.72182011,43338,91.25326371
246,2010,2010/8/6,40696,96.04002454,29849,69.75858281,32126,70.94024643,38147,96.54046667,43369,91.31853786
249,2010,2010/8/7,41227,97.29315146,36219,84.64558648,39055,86.24078082,22716,57.48848509,41958,88.34751116
251,2010,2010/8/8,39016,92.07532921,41292,96.50143729,30545,67.44910127,13396,33.90190818,41596,87.58527752
267,2010,2010/8/16,36814,86.8787464,30809,72.00215009,32333,71.39734134,14156,35.82527712,45546,95.90246778
269,2010,2010/8/17,33664,79.44494265,14589,34.09521139,32130,70.94907919,12242,30.98142431,46313,97.51747663
274,2010,2010/8/19,30687,72.41940813,19218,44.91341233,37782,83.42975754,15783,39.94280508,44074,92.8029984
277,2010,2010/8/20,39345,92.85174871,16412,38.35565215,35733,78.90518041,23695,59.96608797,45380,95.55293523
281,2010,2010/8/21,41099,96.99107944,24908,58.21122251,35190,77.70613435,28759,72.78179886,41400,87.17257643
285,2010,2010/8/22,37518,88.54014254,36101,84.36981467,33149,73.19922272,24730,62.58541277,43822,92.27238272
300,2010,2010/8/30,29538,69.70783971,26617,62.20523966,34298,75.73643068,12393,31.36356734,44477,93.65156237
302,2010,2010/8/31,31369,74.02888564,12060,28.18481385,30975,68.39862209,13302,33.66401782,42638,89.77933126
304,2010,2010/9/1,33555,79.18770944,16973,39.66673678,41463,91.55809743,12686,32.10507668,43540,91.6785985
306,2010,2010/9/3,31424,74.15868221,19923,46.56103204,37317,82.40295014,19734,49.94179278,44597,93.9042365
311,2010,2010/9/5,40788,96.25713881,22090,51.62541775,30024,66.29863534,30263,76.58804474,43963,92.56927483
314,2010,2010/9/6,31647,74.68494832,30151,70.46437168,22761,50.26056618,18057,45.69772739,40509,85.29647098
317,2010,2010/9/7,31596,74.56459149,14760,34.49484681,27004,59.6299077,15330,38.79637597,41145,86.6356439
320,2010,2010/9/8,33623,79.34818521,17558,41.03391058,31212,68.92196264,11070,28.01538695,38252,80.54409164
344,2010,2010/9/21,36364,85.81677444,28844,67.40984833,34325,75.79605176,13113,33.18570633,37806,79.6049861
347,2010,2010/9/22,37285,87.99027706,28173,65.84168828,29059,64.16773396,22939,58.05284203,40205,84.65636318
350,2010,2010/9/23,34481,81.37301175,37582,87.8309846,24117,53.25486905,25981,65.75137926,37885,79.77132991
352,2010,2010/9/24,36553,86.26280266,21312,49.80719344,24645,54.4207923,18331,46.3911525,38592,81.26000168
355,2010,2010/9/25,39316,92.78331052,26418,61.74016687,34310,75.76292894,15478,39.17092676,38315,80.67674556
358,2010,2010/9/26,38057,89.81214896,12777,29.86047816,42478,93.79940821,11785,29.8248722,38112,80.24930515
384,2011,2011/4/18,36597,86.36663992,12994,30.36761785,31907,70.45665327,15802,39.99088931,36739,77.35829192
389,2011,2011/4/20,35095,82.8220135,14915,34.85708944,37065,81.84648677,22279,56.38254796,36293,76.41918639
390,2011,2011/4/20,35544,83.88162553,17319,40.47535582,32323,71.37525946,25350,64.15447689,39633,83.4519498
394,2011,2011/4/22,36595,86.36192005,27051,63.21951904,35794,79.03987987,23208,58.7336134,42409,89.29714478
397,2011,2011/4/23,41161,97.13739557,40286,94.15036575,37062,81.83986221,29192,73.877613,34965,73.62292597
400,2011,2011/4/24,32943,77.74342757,26941,62.96244362,33848,74.7427461,18043,45.66229691,32340,68.09567927
405,2011,2011/4/25,37417,88.30178883,12005,28.05627615,27058,59.74914985,8755,22.15670395,33714,70.98879811
407,2011,2011/4/26,38261,90.29357625,32972,77.05718759,22861,50.48138498,10517,26.61588298,36160,76.13913922
420,2011,2011/5/6,35471,83.70935007,41307,96.53649302,25652,56.64443757,18262,46.21653085,41877,88.17695612
423,2011,2011/5/7,37666,88.88941332,24672,57.65967889,32837,72.51026807,9520,24.09272663,38201,80.43670513
431,2011,2011/5/10,34249,80.82550621,16981,39.68543317,42422,93.67574968,12457,31.52553525,32635,68.71683652
434,2011,2011/5/11,34439,81.27389437,18861,44.07908575,37059,81.83323765,9832,24.88232019,32689,68.83053988
435,2011,2011/5/12,32559,76.8372115,16543,38.6618056,33361,73.66735857,9048,22.89821329,34324,72.27322496
438,2011,2011/5/13,37433,88.33954784,26018,60.80534717,42240,93.27385947,12728,32.21136812,38509,81.08523541
460,2011,2011/5/24,35707,84.26629537,21564,50.39612985,42605,94.07984808,32299,81.74064888,35552,74.85892361
463,2011,2011/5/25,36666,86.52947562,22213,51.9128748,22906,50.58075343,17946,45.41681429,40229,84.706898
464,2011,2011/5/26,33378,78.77000047,31402,73.38802029,24722,54.59082277,11373,28.78220378,40125,84.48791375
465,2011,2011/5/27,34105,80.48567518,40324,94.23917362,34419,76.00362143,13497,34.15751379,34884,73.45237093
467,2011,2011/5/28,38413,90.65228678,28327,66.20159387,37034,81.77803295,12910,32.67196437,34567,72.78489009
469,2011,2011/5/29,37464,88.4127059,22568,52.74252729,42512,93.8744866,24396,61.74014273,35298,74.32409669
475,2011,2011/6/1,31340,73.96044744,24921,58.24160415,43035,95.0293689,37958,96.06215519,36409,76.66343805
502,2011,2011/6/13,39070,92.20276585,31367,73.30622356,27064,59.76239898,25124,63.58252771,40849,86.01238103
503,2011,2011/6/14,39151,92.3939208,32026,74.84633901,26114,57.66462041,16873,42.70132105,37748,79.48286027
504,2011,2011/6/15,39821,93.97507906,31688,74.05641637,30632,67.64121362,21497,54.40350256,35775,75.32847637
505,2011,2011/6/16,40024,94.45414641,32618,76.22987216,33240,73.40016782,33861,85.69367819,40419,85.10696538
508,2011,2011/6/17,42219,99.63420966,41173,96.22332843,41930,92.5893212,39441,99.81525535,43195,90.95216036
510,2011,2011/6/18,42236,99.6743286,40010,93.50534016,42692,94.27196043,35505,89.85422888,40701,85.7007496
514,2011,2011/6/19,41828,98.71147402,41367,96.67671598,35495,78.37963167,12378,31.32560611,40674,85.64389792
536,2011,2011/6/27,40854,96.4128947,40440,94.51027133,40079,88.50196529,14015,35.46844157,43102,90.75633791
537,2011,2011/6/28,38360,90.52721008,41580,97.17450747,39632,87.51490527,12468,31.55337349,41660,87.72003706
538,2011,2011/6/28,39157,92.40808043,34948,81.6751969,39819,87.92783642,24653,62.39054512,40095,84.42474522
539,2011,2011/6/29,37221,87.83924104,41238,96.37523663,43980,97.11610652,39273,99.39008959,36520,76.89716163
540,2011,2011/6/30,38158,90.05050267,40204,93.95872771,41624,91.91361569,26452,66.94336185,40532,85.34490019
542,2011,2011/7/1,41486,97.90437532,24841,58.05464021,41622,91.90919931,15555,39.3657944,37724,79.43232544
544,2011,2011/7/2,42165,99.50677302,34118,79.73544603,34014,75.1093053,22447,56.80771372,40289,84.83323507
546,2011,2011/7/3,42311,99.85132393,41192,96.26773236,36470,80.53261494,33806,85.55448702,36542,76.94348522
566,2011,2011/7/14,38145,90.01982348,33036,77.20675875,34102,75.30362584,19418,49.14207623,40551,85.38490693
567,2011,2011/7/15,38391,90.60036815,25480,59.54801468,39050,86.22973988,39330,99.53434226,36090,75.99174598
570,2011,2011/7/16,40709,96.07070373,27552,64.39038071,43119,95.21485669,39483,99.92154679,37223,78.37741093
572,2011,2011/7/17,37634,88.81389531,23616,55.19175489,39183,86.52342887,39511,99.99240775,35274,74.27356186
574,2011,2011/7/18,38183,90.10950111,25400,59.36105074,39233,86.63383827,36942,93.49091461,37160,78.24475701
576,2011,2011/7/19,38857,91.70009912,29016,67.8118208,40008,88.34518394,18151,45.93561776,42745,90.00463236
578,2011,2011/7/20,37864,89.35668098,40402,94.42146346,41672,92.01960871,18910,47.85645594,35299,74.32620231
581,2011,2011/7/22,39855,94.05531694,37864,88.49003248,44306,97.8359758,37140,93.99200283,38074,80.16929167
583,2011,2011/7/23,40486,95.54443763,27055,63.22886723,41738,92.16534911,39235,99.29392114,35588,74.93472585
587,2011,2011/7/24,40406,95.35564261,17378,40.61324172,41619,91.90257475,31428,79.53636686,35679,75.12633707
616,2011,2011/8/5,42245,99.69556804,20546,48.01701372,39393,86.98714835,22016,55.71696108,38794,81.68533648
618,2011,2011/8/6,41978,99.06546467,28346,66.2459978,41906,92.53632469,26058,65.9462469,42042,88.52438305
620,2011,2011/8/7,39619,93.49837164,31374,73.32258291,41820,92.34642053,25207,63.79257985,43784,92.19236924
623,2011,2011/8/9,37109,87.57492802,35286,82.46511954,43214,95.42463454,38490,97.40851344,43960,92.56295797
625,2011,2011/8/10,38010,89.70123189,35089,82.00472084,45103,99.5959016,39102,98.95733158,40626,85.54282827
628,2011,2011/8/11,34733,81.96771605,30423,71.10004908,38551,85.12785408,35402,89.59356178,38397,80.84940622
647,2011,2011/8/19,42343,99.92684193,28415,66.4072542,37083,81.88623416,22248,56.30409475,38302,80.64937253
649,2011,2011/8/20,42374,100,21360,49.9193718,42804,94.51927748,26109,66.07531508,36181,76.1833572
651,2011,2011/8/21,39420,93.02874404,19317,45.1447802,42873,94.67164245,19106,48.35248266,40172,84.58687779
655,2011,2011/8/22,37061,87.46165101,18567,43.39199327,41661,91.99531864,29317,74.19395657,38748,81.58847806
657,2011,2011/8/23,36639,86.4657573,21438,50.10166164,44091,97.36121539,37766,95.57625146,35198,74.11353491
660,2011,2011/8/24,37098,87.54896871,19874,46.44651663,41883,92.48553637,39251,99.33441312,37062,78.03840647
661,2011,2011/8/25,36136,85.27870864,19159,44.77552642,42384,93.59183854,35601,90.09718075,32959,69.39905668
679,2011,2011/9/3,36628,86.43979799,18304,42.77734932,38073,84.07234024,19766,50.02277674,36503,76.86136612
681,2011,2011/9/4,40469,95.50431869,23792,55.60307556,41646,91.96219582,20943,53.00146783,40480,85.23540807
684,2011,2011/9/5,41341,97.56218436,32506,75.96812265,43283,95.57699951,22296,56.42557068,35812,75.40638423
686,2011,2011/9/6,35297,83.29872091,39766,92.93510014,42967,94.87921212,36620,92.67601356,38429,80.91678599
690,2011,2011/9/7,36797,86.83862746,37845,88.44562855,42388,93.60067129,37826,95.72809637,36970,77.84468963
711,2011,2011/9/16,35318,83.34827961,21168,49.47065835,37120,81.96793711,29967,75.83894316,41839,88.09694264
712,2011,2011/9/17,39377,92.92726672,23847,55.73161327,38302,84.57801528,19377,49.03831553,41647,87.69266403
714,2011,2011/9/18,36250,85.54774154,20875,48.78590292,44584,98.44985205,19380,49.04590778,42043,88.52648867
717,2011,2011/9/19,35076,82.77717468,20672,48.31148192,44520,98.30852802,21411,54.18585818,35397,74.53255285
719,2011,2011/9/20,36571,86.30528154,19051,44.5231251,43347,95.71832354,13366,33.82598573,38891,81.8895814
722,2011,2011/9/21,30965,73.07547081,17115,39.99859777,41222,91.02592413,9840,24.90256618,37129,78.17948286
738,2012,2012/4/11,34044,80.34171898,17317,40.47068172,41864,92.4435808,12330,31.20413018,40689,85.67548219
739,2012,2012/4/12,36311,85.69169774,29486,68.91023394,41976,92.69089785,24527,62.0716708,39710,83.61408237
750,2012,2012/4/20,37782,89.16316609,32971,77.05485055,27159,59.97217683,19071,48.26390646,37746,79.47864904
752,2012,2012/4/21,38405,90.63340728,16868,39.42134661,30189,66.66298635,13278,33.60327985,40658,85.61020804
756,2012,2012/4/23,37794,89.19148534,23288,54.42520274,30091,66.44658393,16544,41.86870476,35992,75.78539544
760,2012,2012/4/24,38894,91.78741681,37255,87.0667695,39188,86.53446981,12520,31.68497241,40355,84.97220585
765,2012,2012/4/25,34894,82.34766602,42294,98.84316063,42611,94.0930972,23632,59.80665081,42571,89.63825486
778,2012,2012/5/4,37332,88.10119413,28361,66.28105354,36291,80.13734929,37388,94.61962849,41469,87.31786406
780,2012,2012/5/5,39874,94.10015576,17606,41.14608895,38686,85.42595946,28758,72.77926811,46882,98.71557315
783,2012,2012/5/7,36307,85.68225799,26438,61.78690785,26778,59.13085722,23509,59.49536873,46792,98.52606755
786,2012,2012/5/8,38523,90.91187993,20411,47.70151207,27157,59.96776046,30437,77.028395,44952,94.65173082
789,2012,2012/5/9,31904,75.29145231,23312,54.48129192,28108,62.06774721,10484,26.53236827,35562,74.87997979
805,2012,2012/5/16,38678,91.27767027,29597,69.1696464,27090,59.81981186,15218,38.51293213,35907,75.60641792
806,2012,2012/5/17,37986,89.64459338,35314,82.53055692,40097,88.54171267,25934,65.63243407,40049,84.3278868
808,2012,2012/5/18,34937,82.44914334,29368,68.63446213,42339,93.49247008,20445,51.74115503,43063,90.67421882
809,2012,2012/5/19,40228,94.9355737,19906,46.5213022,42167,93.11266175,33019,83.56278787,42586,89.66983913
812,2012,2012/5/20,38374,90.56024921,16859,39.40031316,32421,71.59166188,20042,50.72126335,45824,96.48782953
837,2012,2012/5/28,38452,90.74432435,23106,53.99985978,42398,93.62275317,10323,26.12491775,36345,76.52867851
839,2012,2012/5/29,35219,83.11464577,38563,90.1236299,33064,73.01152674,11478,29.04793238,35987,75.77486735
841,2012,2012/5/30,38516,90.89536036,42443,99.19138096,31644,69.87589984,15381,38.92544415,40601,85.49018782
863,2012,2012/6/12,41164,97.14447539,34056,79.59054897,30451,67.2415316,19878,50.30622058,45190,95.15286785
866,2012,2012/6/13,41326,97.52678529,24758,57.86066512,37691,83.22881244,34187,86.51870223,44157,92.97776468
868,2012,2012/6/14,42292,99.80648511,27428,64.1005866,33055,72.99165305,27517,69.6386091,45729,96.28779584
870,2012,2012/6/15,40073,94.56978336,34193,79.91072472,39603,87.45086782,14556,36.83757656,44276,93.22833319
872,2012,2012/6/16,40766,96.20522018,33531,78.36359812,34334,75.81592545,15794,39.97064332,45538,95.88562284
885,2012,2012/6/25,34092,80.45499599,34513,80.65858048,28071,61.98604425,25731,65.11869211,40360,84.98273393
888,2012,2012/6/26,34064,80.38891773,34485,80.5931431,27112,59.868392,29914,75.70481348,39151,82.43704203
890,2012,2012/6/27,35837,84.57308727,32986,77.08990628,30123,66.51724595,38132,96.50250544,40715,85.73022825
891,2012,2012/6/29,32891,77.62071081,28906,67.55474538,32759,72.33802941,27486,69.56015589,40135,84.50896993
895,2012,2012/6/30,37906,89.45579837,40217,93.98910935,43021,94.99845427,14792,37.43483322,43375,91.33117157
897,2012,2012/7/1,37389,88.23571058,37583,87.83332165,32223,71.15444067,12077,30.56385079,44476,93.64945675
919,2012,2012/7/13,36878,87.02978241,39280,91.79929421,33077,73.04023318,16782,42.47102293,42659,89.82354923
922,2012,2012/7/14,38068,89.83810827,27735,64.81806072,38030,83.97738816,36069,91.28157109,42098,88.64229765
925,2012,2012/7/15,36659,86.51295606,19142,44.73579658,41647,91.96440401,39312,99.48878878,41694,87.79162806
931,2012,2012/7/17,34397,81.17477699,26077,60.94323307,38605,85.24709623,25752,65.17183783,40972,86.27137202
933,2012,2012/7/18,34934,82.44206353,21620,50.5270046,28674,63.31758159,19936,50.453004,40045,84.31946433
936,2012,2012/7/19,32741,77.26672016,30247,70.68872841,33178,73.26326017,19878,50.30622058,43464,91.51857155
955,2012,2012/7/27,40778,96.23353943,40090,93.6923041,31910,70.46327783,21563,54.57053196,42001,88.43805272
956,2012,2012/7/28,41276,97.40878841,32884,76.85152726,27443,60.59930221,37965,96.07987043,42018,88.47384823
